"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-09","12.75",,,"0.01","0.0",,,"59","32","  330","  290","29.1","36.0","    1",,,"    1",,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-10","8.28",,,"0.00","0.0",,,"43","27","  290","  280","23.9","32.0",,,,,,,,,,,,,,,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-11","9.84",,,"0.00","0.0",,,"60","27","  210","  240","17.0","23.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-12","5.82",,,"0.00","0.0",,,"74","30","  180","  180","17.9","23.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-13","8.50",,,"0.02","0.0",,,"72","49","  180","  180","17.9","23.0",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-14","7.61",,,"0.00","0.0",,,"67","42","  310","  300","19.9","28.0","    1",,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-15","5.59",,,"0.00","0.0",,,"55","39","  190","   90","16.1","21.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-16","6.49",,,"0.04","0.0",,,"49","41","  160","  160","13.0","15.0","    1",,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-17","4.03",,,"0.00","0.0",,,"57","43","  190","   20","12.1","14.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-18","8.05",,,"0.00","0.0",,,"72","39","  170","  180","16.1","19.9",,,,,,,,,,"    1",,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-19","3.36",,,"0.00","0.0",,,"79","39","  190","  200","16.1","17.9",,,,,,,"    1",,,"    1",,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-20","6.26",,,"0.00","0.0",,,"79","46","  170","  210","17.0","21.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-21","6.49",,,"0.00","0.0",,,"75","52","  210","  190","15.0","19.9",,"    1",,,,,,,,"    1","    1",,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-22","6.71",,,"0.00","0.0",,,"83","54","  260","  250","14.1","17.0",,,,,,,,,,"    1",,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-23","5.14",,,"0.00","0.0",,,"75","53","   10","   10","16.1","21.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-24","6.93",,,"0.00","0.0",,,"64","49","  190","  190","17.0","19.9",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-25","3.80",,,"0.01","0.0",,,"51","42","  360","   20","8.9","12.1",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-26","14.76",,,"0.00","0.0",,,"53","31","  350","  330","30.0","44.1",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-27","10.29",,,"0.00","0.0",,,"50","25","  310","  330","23.9","30.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-28","7.61",,,"0.18","0.0",,,"56","38","  200","  210","17.9","23.0","    1",,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-29","12.30",,,"0.00","0.0",,,"53","41","  330","  350","21.0","28.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-30","8.95",,,"0.00","0.0",,,"53","35","  310","  310","21.9","29.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-03-31","4.92",,,"0.34","0.3",,,"46","33","  210","  210","15.0","17.9","    1",,,,,,,,,"    1","    1",,"    1",,"    1",
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-01","2.91",,,"0.15","0.0",,,"50","34","  250","  240","13.0","16.1","    1",,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-02","12.30",,,"0.00","0.0",,,"55","37","   20","  330","28.0","34.9","    1",,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-03","8.72",,,"0.00","0.0",,,"60","31","  330","  320","21.0","29.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-04","12.30",,,"0.00","0.0",,,"64","41","  300","  300","31.1","42.9",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-05","10.29",,,"0.00","0.0",,,"53","36","  320","  360","19.9","25.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-06","7.38",,,"0.00","0.0",,,"55","30","  320","  310","19.9","28.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-07","9.40",,,"0.00","0.0",,,"58","31","  330","  320","21.0","31.1",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-08","8.50",,,"0.00","0.0",,,"62","39","  290","  290","21.0","28.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-09","11.63",,,"0.00","0.0",,,"60","44","  270","  250","30.0","40.9",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-10","9.62",,,"0.00","0.0",,,"62","39","  290","  260","23.9","30.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-11","6.71",,,"0.02","0.0",,,"58","41","   20","   30","16.1","21.9",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-12","8.05",,,"0.01","0.0",,,"59","39","  320","  310","16.1","30.0",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-13","7.38",,,"0.00","0.0",,,"65","31","  300","  360","19.9","28.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-14","6.26",,,"0.00","0.0",,,"71","41","  270","  280","17.0","21.9",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-15","7.61",,,"0.00","0.0",,,"80","55","  230","  230","17.9","23.0",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-16","8.05",,,"0.00","0.0",,,"92","58","  160","  180","23.9","31.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-17","10.51",,,"0.00","0.0",,,"78","53","  310","  310","21.9","31.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-18","6.71",,,"0.00","0.0",,,"62","45","   30","  330","14.1","21.0",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-19","6.93",,,"0.00","0.0",,,"73","43","  180","  210","17.9","25.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-20","10.74",,,"0.00","0.0",,,"77","47","  190","  200","23.9","29.1",,,,,,,,,,,,,,,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-21","12.30",,,"0.02","0.0",,,"78","57","  170","  170","25.1","31.1",,,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-22","12.53",,,"1.84","0.0",,,"57","43","   30","   20","21.9","29.1","    1",,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-23","12.75",,,"0.92","0.0",,,"62","43","   10","   20","23.9","32.0","    1",,,,,,,,,"    1",,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-24","11.41",,,"0.01","0.0",,,"55","41","  170","  180","23.9","32.0",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-25","7.83",,,"0.04","0.0",,,"61","39","  280","  290","25.9","36.0",,,,,,,,,,,,,"    1",,,
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","2012-04-26","4.92",,,"0.00","0.0",,,"61","34","  160","  190","16.1","19.9","    1",,,,,,,,,"    1","    1",,"    1",,,
