STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/18/2012,6.71,,,0,0,,,62,45,30,330,14.1,21
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/19/2012,6.93,,,0,0,,,73,43,180,210,17.9,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/20/2012,10.74,,,0,0,,,77,47,190,200,23.9,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/21/2012,12.3,,,0.02,0,,,78,57,170,170,25.1,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/22/2012,12.53,,,1.84,0,,,57,43,30,20,21.9,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/23/2012,12.75,,,0.92,0,,,62,43,10,20,23.9,32
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/24/2012,11.41,,,0.01,0,,,55,41,170,180,23.9,32
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/25/2012,7.83,,,0.04,0,,,61,39,280,290,25.9,36
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/26/2012,4.92,,,0,0,,,61,34,160,190,16.1,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/27/2012,17.67,,,0.01,0,,,53,38,300,300,33.1,44.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/28/2012,9.4,,,0,0,,,60,35,310,310,23,29.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/29/2012,11.41,,,0,0,,,61,33,290,290,31.1,45
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,4/30/2012,7.16,,,0,0,,,64,33,180,190,17.9,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/1/2012,8.28,,,0.49,0,,,53,46,30,330,15,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/2/2012,4.7,,,0,0,,,56,45,170,160,13,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/3/2012,6.49,,,0.31,0,,,54,50,160,160,12.1,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/4/2012,6.49,,,0.05,0,,,71,50,170,170,17.9,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/5/2012,4.47,,,0.02,0,,,69,55,160,150,12.1,15
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/6/2012,5.37,,,0.03,0,,,69,49,180,190,14.1,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/7/2012,7.16,,,0.01,0,,,73,45,190,190,21,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/8/2012,10.29,,,0.49,0,,,61,50,180,180,21,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/9/2012,5.82,,,0.13,0,,,64,57,320,330,12.1,15
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/10/2012,10.96,,,0.59,0,,,65,46,300,300,23,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/11/2012,11.18,,,0,0,,,68,46,300,310,21.9,31.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/12/2012,7.38,,,0,0,,,81,40,280,280,19.9,25.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/13/2012,6.49,,,0,0,,,84,52,170,180,21,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/14/2012,5.14,,,0.22,0,,,72,60,180,180,17,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/15/2012,6.93,,,0.54,0,,,72,59,170,160,21.9,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/16/2012,7.61,,,0,0,,,76,61,310,320,16.1,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/17/2012,7.38,,,0,0,,,72,48,310,320,17,23.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/18/2012,3.8,,,0,0,,,74,43,180,170,15,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/19/2012,4.92,,,0,0,,,83,44,170,150,13,16.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/20/2012,4.7,,,0,0,,,86,49,140,150,15,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/21/2012,5.14,,,0.05,0,,,72,51,130,120,10.1,14.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/22/2012,5.14,,,0.13,0,,,70,61,40,40,13,16.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/23/2012,5.14,,,0,0,,,80,59,180,170,14.1,17.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/24/2012,6.04,,,0,0,,,78,61,200,170,14.1,17.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/25/2012,5.82,,,0.03,0,,,77,60,180,180,16.1,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/26/2012,5.82,,,0,0,,,87,63,310,300,12.1,16.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/27/2012,6.04,,,0,0,,,84,59,190,340,16.1,23
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/28/2012,6.71,,,0,0,,,89,65,170,180,15,19.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/29/2012,8.72,,,0.18,0,,,93,66,170,160,23,28
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/30/2012,5.37,,,0,0,,,80,65,350,340,13,17
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,5/31/2012,7.83,,,0,0,,,81,58,320,310,17,25.1
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,6/1/2012,8.5,,,0.04,0,,,76,54,140,120,17,21.9
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",41.9375,-72.6819,53.3,6/2/2012,5.82,,,1.71,0,,,63,55,70,80,14.1,17.9
